timestep,decision,prb_decision,policy_decision
313,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
314,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
315,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
316,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
317,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
318,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
319,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
320,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
321,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
322,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
323,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
324,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
325,"(24, 21, 5, 2, 0, 0)","[24, 21, 5]","[2, 0, 0]"
326,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
327,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
328,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
329,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
330,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
331,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
332,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
333,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
334,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
335,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
336,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
337,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
338,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
339,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
340,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
341,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
342,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
343,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
344,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
345,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
346,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
347,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
348,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
349,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
350,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
351,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
352,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
353,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
354,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
355,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
356,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
357,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
358,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
359,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
360,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
361,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
362,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
363,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
364,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
365,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
366,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
367,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
368,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
369,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
370,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
371,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
372,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
373,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
374,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
375,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
376,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
377,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
378,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
379,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
380,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
381,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
