timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
3638,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 5], [0, 4, 6]]","[[1, 2, 3, 5], [0, 4, 6]]","inc(G0, Q3, 50)",0.738
3639,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","inc(G0, Q4, 75)",0.8
3640,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","inc(G0, Q4, 75)",0.873
3641,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 4, 5], [1, 3, 6]]","[[0, 2, 4, 5], [1, 3, 6]]","dec(G0, Q3, 50)",0.738
3642,0,"[0, 1, 2, 3, 4, 5, 6]","dec(MSEUr, Q2)","const(DTUr, Q4)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","inc(G0, Q4, 75)",0.876
3643,0,"[0, 1, 2, 3, 5, 6]","dec(MSEUr, Q1)","const(DTUr, Q4)","[[3], [0, 1, 2, 5, 6]]","[[3, 4], [0, 1, 2, 5, 6]]","dec(G0, Q1, 25)",0.55
3643,1,[4],"const(MSEUr, Q1)","inc(DTUr, Q4)","[[4], []]","[[3, 4], [0, 1, 2, 5, 6]]","inc(G1, Q1, 100)",0.55
3644,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[1, 2], [0, 3, 5, 6]]","[[1, 2, 4], [0, 3, 5, 6]]","inc(G0, Q2, 25)",0.585
3644,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[1, 2, 4], [0, 3, 5, 6]]","const(G1, Q1, 100)",0.585
3645,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 3], [1, 2, 5, 6]]","[[0, 3], [1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.618
3645,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[], [4]]","[[0, 3], [1, 2, 4, 5, 6]]","dec(G1, Q1, 0)",0.618
3646,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[2, 5], [0, 1, 3, 6]]","[[2, 5], [0, 1, 3, 4, 6]]","const(G0, Q2, 25)",0.618
