timestep,decision,prb_decision,policy_decision
209,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
210,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
211,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
212,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
213,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
214,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
215,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
216,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
217,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
218,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
219,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
220,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
221,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
222,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
223,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
224,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
225,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
226,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
227,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
228,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
229,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
230,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
231,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
232,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
233,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
234,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
235,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
236,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
237,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
238,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
239,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
240,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
241,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
242,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
243,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
244,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
245,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
246,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
247,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
248,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
249,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
250,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
251,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
252,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
253,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
254,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
255,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
256,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
257,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
258,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
259,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
260,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
261,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
262,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
263,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
264,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
265,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
266,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
267,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
268,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
269,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
270,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
271,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
272,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
273,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
274,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
275,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
276,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
277,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
278,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
279,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
280,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
281,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
282,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
